State_Fips,County_Fips,State,County,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019
19,75,Iowa,Grundy County,12463,12478,12437,12341,12390,12405,12286,12298,12272,12232
19,77,Iowa,Guthrie County,10937,10859,10762,10671,10686,10649,10642,10645,10720,10689
19,79,Iowa,Hamilton County,15633,15467,15321,15343,15217,15218,15075,15032,14886,14773
19,81,Iowa,Hancock County,11297,11292,11175,11131,11040,11028,10887,10756,10710,10630
19,83,Iowa,Hardin County,17543,17375,17359,17388,17332,17253,17196,17073,16937,16846
19,85,Iowa,Harrison County,14909,14764,14475,14357,14265,14139,14046,14107,14105,14049
19,87,Iowa,Henry County,20106,20243,19992,20021,19834,19843,19833,20044,20033,19954
19,89,Iowa,Howard County,9568,9546,9548,9439,9353,9313,9257,9229,9172,9158
19,91,Iowa,Humboldt County,9792,9782,9723,9677,9636,9556,9530,9569,9559,9558
19,93,Iowa,Ida County,7066,7046,7044,7074,6971,6968,6961,6869,6846,6860
19,95,Iowa,Iowa County,16335,16323,16180,16281,16317,16282,16192,16133,16155,16184
19,97,Iowa,Jackson County,19830,19734,19685,19517,19431,19366,19393,19382,19427,19439
19,99,Iowa,Jasper County,36812,36622,36574,36728,36886,36750,36736,36995,37189,37185
19,101,Iowa,Jefferson County,16837,17096,17278,17629,17793,17906,18063,18219,18256,18295
19,103,Iowa,Johnson County,131337,134086,137103,140151,142730,144943,146928,149325,150549,151140
19,105,Iowa,Jones County,20689,20743,20601,20519,20548,20433,20392,20618,20673,20681
19,107,Iowa,Keokuk County,10508,10398,10427,10337,10283,10171,10170,10141,10213,10246
19,109,Iowa,Kossuth County,15525,15400,15413,15332,15229,15158,15104,14939,14878,14813
19,111,Iowa,Lee County,35849,35569,35541,35236,35059,34894,34458,34216,33909,33657
19,113,Iowa,Linn County,211705,214207,215485,216488,218129,220271,222188,224379,225763,226706
19,115,Iowa,Louisa County,11382,11381,11360,11348,11250,11285,11221,11195,11153,11035
19,117,Iowa,Lucas County,8898,8880,8778,8697,8636,8610,8555,8533,8617,8600
19,119,Iowa,Lyon County,11567,11692,11757,11695,11703,11747,11780,11785,11815,11755
19,121,Iowa,Madison County,15739,15740,15641,15483,15616,15720,15796,16000,16206,16338
19,123,Iowa,Mahaska County,22408,22501,22398,22421,22363,22312,22186,22211,22018,22095
19,125,Iowa,Marion County,33225,33270,33274,33014,33269,33109,33146,33091,33259,33253
19,127,Iowa,Marshall County,40722,41013,41032,40995,40722,40352,40135,40078,39888,39369
19,129,Iowa,Mills County,15076,15029,14873,14905,14760,14882,15053,15060,15068,15109
19,131,Iowa,Mitchell County,10793,10709,10716,10669,10700,10676,10644,10563,10571,10586
19,133,Iowa,Monona County,9248,9238,9091,9032,8899,8866,8786,8724,8659,8615
19,135,Iowa,Monroe County,7997,8060,8073,7979,7958,7924,7836,7798,7768,7707
19,137,Iowa,Montgomery County,10690,10632,10540,10404,10384,10149,10124,10112,9961,9917
19,139,Iowa,Muscatine County,42803,42842,42916,43010,43028,43068,42968,42872,42874,42664
19,141,Iowa,O'Brien County,14408,14218,14156,14045,14042,13926,13926,13774,13798,13753
19,143,Iowa,Osceola County,6459,6316,6204,6236,6231,6160,6095,6021,6028,5958
19,145,Iowa,Page County,15921,15898,15702,15516,15483,15462,15329,15213,15229,15107
19,147,Iowa,Palo Alto County,9398,9354,9279,9164,9120,9140,9034,9052,8903,8886
19,149,Iowa,Plymouth County,24975,24818,24830,24931,24911,24899,25180,25060,25024,25177
19,151,Iowa,Pocahontas County,7289,7204,7143,7112,7097,6967,6854,6833,6714,6619
19,153,Iowa,Polk County,432352,438737,444671,452657,460898,467304,474277,480487,485833,490161
19,155,Iowa,Pottawattamie County,93363,93498,92916,92855,93258,93563,93518,93416,93264,93206
19,157,Iowa,Poweshiek County,18925,18896,18728,18606,18608,18358,18279,18334,18467,18504
19,159,Iowa,Ringgold County,5113,5049,5027,4971,4961,4977,4985,5024,4940,4894
19,161,Iowa,Sac County,10354,10222,10161,10030,10048,9966,9816,9803,9705,9721
19,163,Iowa,Scott County,165272,166629,168347,170201,171310,171903,172135,172448,172803,172943
19,165,Iowa,Shelby County,12174,11992,12024,11899,11878,11789,11655,11574,11559,11454
19,167,Iowa,Sioux County,33754,34016,34282,34503,34635,34754,34944,34781,34802,34855
19,169,Iowa,Story County,89654,91136,92003,93877,95802,96636,96893,97278,96781,97117
19,171,Iowa,Tama County,17719,17614,17501,17430,17309,17217,17192,17029,16869,16854
19,173,Iowa,Taylor County,6322,6304,6260,6233,6175,6246,6213,6095,6160,6121
19,175,Iowa,Union County,12513,12556,12586,12616,12627,12430,12360,12459,12298,12241
19,177,Iowa,Van Buren County,7577,7513,7449,7434,7390,7296,7241,7155,7013,7044
19,179,Iowa,Wapello County,35682,35486,35431,35507,35426,35456,35265,35022,34991,34969
19,181,Iowa,Warren County,46340,46645,46895,47358,47827,48468,49356,50078,51014,51466
19,183,Iowa,Washington County,21688,21822,21903,21944,22029,22145,22126,22204,22058,21965
19,185,Iowa,Wayne County,6419,6337,6329,6385,6376,6359,6447,6492,6405,6441
19,187,Iowa,Webster County,37879,37745,37323,37327,37069,37066,36781,36637,36339,35904
19,189,Iowa,Winnebago County,10846,10696,10602,10430,10556,10603,10602,10573,10539,10354
19,191,Iowa,Winneshiek County,21076,21051,21041,20840,20696,20745,20427,20129,20017,19991
19,193,Iowa,Woodbury County,102388,102720,102321,102284,102292,102492,102686,102132,102515,103107
19,195,Iowa,Worth County,7583,7561,7496,7489,7557,7503,7471,7455,7413,7381
19,197,Iowa,Wright County,13185,13034,13020,12982,12906,12841,12839,12765,12690,12562
20,0,Kansas,Kansas,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314
20,1,Kansas,Allen County,13363,13350,13306,13069,12892,12683,12670,12555,12501,12369
20,3,Kansas,Anderson County,8103,8060,7919,7854,7881,7816,7812,7833,7848,7858
20,5,Kansas,Atchison County,16855,16753,16774,16688,16523,16418,16376,16298,16173,16073
20,7,Kansas,Barber County,4852,4923,4867,4909,4881,4824,4673,4570,4465,4427
20,9,Kansas,Barton County,27675,27697,27520,27443,27334,27159,26878,26394,26057,25779
20,11,Kansas,Bourbon County,15135,14944,14878,14835,14797,14733,14624,14609,14542,14534
20,13,Kansas,Brown County,9968,9972,9866,9912,9785,9708,9641,9609,9610,9564
20,15,Kansas,Butler County,65901,65838,65669,65671,65861,66249,66652,66845,66833,66911
20,17,Kansas,Chase County,2784,2769,2743,2690,2654,2656,2632,2651,2600,2648
20,19,Kansas,Chautauqua County,3649,3610,3559,3529,3456,3387,3360,3315,3304,3250
20,21,Kansas,Cherokee County,21526,21359,21192,20899,20768,20535,20256,20129,20035,19939
20,23,Kansas,Cheyenne County,2714,2693,2667,2671,2686,2674,2667,2684,2645,2657
20,25,Kansas,Clark County,2199,2120,2165,2178,2114,2081,2065,1995,1994,1994
20,27,Kansas,Clay County,8548,8529,8504,8388,8301,8293,8105,8006,8003,8002
20,29,Kansas,Cloud County,9519,9421,9417,9355,9331,9188,9070,8912,8734,8786
20,31,Kansas,Coffey County,8585,8487,8467,8377,8394,8291,8339,8228,8232,8179
20,33,Kansas,Comanche County,1886,1882,1914,1926,1950,1827,1838,1759,1736,1700
20,35,Kansas,Cowley County,36312,36249,36267,36170,35896,35752,35650,35297,35149,34908
20,37,Kansas,Crawford County,39172,39204,39324,39250,39269,39139,39046,38925,38911,38818
20,39,Kansas,Decatur County,2957,2927,2884,2908,2897,2923,2828,2863,2860,2827
20,41,Kansas,Dickinson County,19773,19685,19705,19433,19305,19206,18956,18829,18682,18466
20,43,Kansas,Doniphan County,7960,7960,7890,7876,7840,7788,7718,7657,7658,7600
20,45,Kansas,Douglas County,111198,112479,113313,114713,116445,118141,119662,120281,121109,122259
20,47,Kansas,Edwards County,3054,3019,2965,2967,3025,2955,2899,2873,2820,2798
20,49,Kansas,Elk County,2867,2786,2661,2633,2696,2574,2511,2514,2484,2530
20,51,Kansas,Ellis County,28424,28765,29089,29030,28963,28999,28942,28735,28646,28553
20,53,Kansas,Ellsworth County,6513,6461,6462,6365,6345,6302,6302,6284,6163,6102
20,55,Kansas,Finney County,36952,37115,37110,37073,37119,37148,36885,36720,36528,36467
